5,Guard Filters,300
7,Guard Filters,350
 Af Stingry,MAXX Air Filter,0
 Formula 3L 10w30,Caltex OiL,3700
 G 18L  SF 20w50,KIXX OiL,17020
 GDO 172,Guard Filters,350
 GDO 418,Guard Filters,250
 Gear OiL 1L 85w140,Union  OiL ,840
12,Default Category,150
137,Guard Filters,410
137,Guard Filters,390
AF 0L040,MAXX Air Filter,0
AF 0y040,Air Filter ,0
AF 1107,MAXX Air Filter,0
AF 1190,MAXX Air Filter,0
AF 1196,MAXX Air Filter,0
AF 1733K,MAXX Air Filter,0
AF 21040,MAXX Air Filter,0
AF 21060 Sp,Air Filter ,0
AF 2280,MAXX Air Filter,0
AF 30040,MAXX Air Filter,0
AF 30060,MAXX Air Filter,0
AF 30070,MAXX Air Filter,0
AF 3360,MAXX Air Filter,0
AF 3360 B,MAXX Air Filter,0
AF 409K,MAXX Air Filter,0
AF 54100,MAXX Air Filter,0
AF 54180,MAXX Air Filter,0
AF c11100,MAXX Air Filter,0
AF C14200,MAXX Air Filter,0
AF C16400,MAXX Air Filter,0
AF CD17,MAXX Air Filter,0
AF CFI 07,MAXX Air Filter,0
AF Civic NEW,Air Filter ,0
AF Civic Old,Air Filter ,0
AF Cultus,MAXX Air Filter,0
AF Cultus NEW,MAXX Air Filter,0
AF Every,MAXX Air Filter,0
AF Every New,MAXX Air Filter,0
AF FAW,Air Filter ,0
AF JAC,MAXX Air Filter,0
AF Kia Picanto,Air Filter ,0
AF MG,Air Filter ,0
AF Mira ,Air Filter ,0
AF ProBox 21030,MAXX Air Filter,0
AF Shehzor,Air Filter ,0
AF Vitz12 23030,MAXX Air Filter,0
AF Wagon R Sp,Air Filter ,0
Air Filter 21050,Air Filter ,300
Air Filter Tida,MAXX Air Filter,0
AirFilter bat,MAXX Air Filter,0
Aqua Af 21060,MAXX Air Filter,0
ATF DX ,KIXX OiL,1240
Balance ,Union  OiL ,4770
BRV AF 55A,MAXX Air Filter,0
City GM AF,MAXX Air Filter,0
Civic AF 5BA,MAXX Air Filter,0
Coolant ,Union  OiL ,400
CVTF  1L  ,ZIC OiL,2260
DashBoard Supry Formula,Other Items,230
Delo Gear OiL 3L EP5,Caltex OiL,3240
Delo Gold  10L  15w40,Caltex OiL,10600
Delo Gold 4L  15w40,Caltex OiL,4240
Delo Silver 10L 20w50,Caltex OiL,8500
Delo Silver 4L  20w50,Caltex OiL,3420
DOT 3 Brake OiL,Union  OiL ,220
EX50L,Exide Battery,7900
FF 204,FleetGuard Filter,0
FF5264,FleetGuard Filter,0
Force solar 50,Other     Batteries,5200
Formula  4L 10w30,Caltex OiL,4940
FS1280,FleetGuard Filter,0
Fujika 65L  11plates,Other     Batteries,8200
G 1L Sf 20w50,KIXX OiL,1000
G 20L  SF 20w50,KIXX OiL,18900
G 3L  SF/20w50,KIXX OiL,2950
G 3L 10w40,KIXX OiL,3720
G 4L 10w40.,KIXX OiL,4350
