"Name","Category","ItemType","Description","ItemTaxCode","UnitPrice","CostingMethod","ManualCost","MovingAverageCost","LastPurchaseCost","LastVendor","VendorProductCode","VendorPrice","BarCode","ReorderPoint","ReorderQuantity","DefaultLocation","DefaultSublocation","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","Custom1","Custom2","Custom3","Custom4","Custom5","Custom6","Custom7","Custom8","Custom9","Custom10","IsActive"
" 0005","Guard Filters","2","","Non-Taxable","300.00000","Last Purchase","","","","Union Lubricants","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" 007","Guard Filters","2","","Non-Taxable","350.00000","Manual","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" Af Stingry","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" Formula 3L 10w30","Caltex OiL","1","","Non-Taxable","3700.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" G 18L  SF 20w50","KIXX OiL","1","","Non-Taxable","17020.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" GDO 172","Guard Filters","1","","Non-Taxable","350.00000","Moving Average","","","","","","","172","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" GDO 418","Guard Filters","1","","Non-Taxable","250.00000","Moving Average","","212.00000000","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
" Gear OiL 1L 85w140","Union  OiL ","1","","Non-Taxable","840.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"0012","Default Category","1","","Non-Taxable","150.00000","Last Purchase","","0.00000000","","","","","0012","10.0000","50.0000","Ware House","","pcs.","","1.0000","1.0000","pcs.","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"0137","Guard Filters","1","","Non-Taxable","410.00000","Moving Average","","400.00000000","400.00000000","Union Lubricants","","400.00000","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"137","Guard Filters","1","","Non-Taxable","390.00000","Moving Average","","0.00000000","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 0L040","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 0y040","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 1107","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 1190","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 1196","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 1733K","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 21040","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 21060 Sp","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 2280","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 30040","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 30060","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 30070","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 3360","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 3360 B","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 409K","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 54100","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF 54180","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF c11100","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF C14200","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF C16400","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF CD17","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF CFI 07","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Civic NEW","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Civic Old","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Cultus","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Cultus NEW","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Every","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Every New","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF FAW","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF JAC","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Kia Picanto","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF MG","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Mira ","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF ProBox 21030","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Shehzor","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Vitz12 23030","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AF Wagon R Sp","Air Filter ","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"Air Filter 21050","Air Filter ","1","","Non-Taxable","300.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"Air Filter Tida","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"AirFilter bat","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"Aqua Af 21060","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"ATF DX ","KIXX OiL","1","","Non-Taxable","1240.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"Balance ","Union  OiL ","1","","Non-Taxable","4770.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"BRV AF 55A","MAXX Air Filter","1","","Non-Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
